"","V1","V2","Attractor","Grammaticality","Experiment"
"257",-2.44,6.75601220385834e-06,"Match","Grammatical","Experiment 1"
"258",-2.43,7.07943325420567e-06,"Match","Grammatical","Experiment 1"
"259",-2.42,7.41829873722401e-06,"Match","Grammatical","Experiment 1"
"260",-2.41,7.77335400828244e-06,"Match","Grammatical","Experiment 1"
"261",-2.4,8.14549195079256e-06,"Match","Grammatical","Experiment 1"
"262",-2.39,8.53535533500579e-06,"Match","Grammatical","Experiment 1"
"263",-2.38,8.94390181805387e-06,"Match","Grammatical","Experiment 1"
"264",-2.37,9.37206322865312e-06,"Match","Grammatical","Experiment 1"
"265",-2.36,9.82061750025981e-06,"Match","Grammatical","Experiment 1"
"266",-2.35,1.02907321253742e-05,"Match","Grammatical","Experiment 1"
"267",-2.34,1.07833172682855e-05,"Match","Grammatical","Experiment 1"
"268",-2.33,1.12994193798286e-05,"Match","Grammatical","Experiment 1"
"269",-2.32,1.18403548924518e-05,"Match","Grammatical","Experiment 1"
"270",-2.31,1.2407064990625e-05,"Match","Grammatical","Experiment 1"
"271",-2.3,1.30009126073008e-05,"Match","Grammatical","Experiment 1"
"272",-2.29,1.36232917122565e-05,"Match","Grammatical","Experiment 1"
"273",-2.28,1.42753067127759e-05,"Match","Grammatical","Experiment 1"
"274",-2.27,1.49586414123795e-05,"Match","Grammatical","Experiment 1"
"275",-2.26,1.56746725664279e-05,"Match","Grammatical","Experiment 1"
"276",-2.25,1.64248635121365e-05,"Match","Grammatical","Experiment 1"
"277",-2.24,1.7211149348817e-05,"Match","Grammatical","Experiment 1"
"278",-2.23,1.80349180727552e-05,"Match","Grammatical","Experiment 1"
"279",-2.22,1.88981037593121e-05,"Match","Grammatical","Experiment 1"
"280",-2.21,1.98027836425962e-05,"Match","Grammatical","Experiment 1"
"281",-2.2,2.07505364338739e-05,"Match","Grammatical","Experiment 1"
"282",-2.19,2.17437791505405e-05,"Match","Grammatical","Experiment 1"
"283",-2.18,2.27846004544896e-05,"Match","Grammatical","Experiment 1"
"284",-2.17,2.387504039985e-05,"Match","Grammatical","Experiment 1"
"285",-2.16,2.50179343083336e-05,"Match","Grammatical","Experiment 1"
"286",-2.15,2.62153429444685e-05,"Match","Grammatical","Experiment 1"
"287",-2.14,2.74700022798447e-05,"Match","Grammatical","Experiment 1"
"288",-2.13,2.87849964711406e-05,"Match","Grammatical","Experiment 1"
"289",-2.12,3.01625984182216e-05,"Match","Grammatical","Experiment 1"
"290",-2.11,3.16062677282649e-05,"Match","Grammatical","Experiment 1"
"291",-2.1,3.31191595393126e-05,"Match","Grammatical","Experiment 1"
"292",-2.09,3.47041294471042e-05,"Match","Grammatical","Experiment 1"
"293",-2.08,3.63653114589115e-05,"Match","Grammatical","Experiment 1"
"294",-2.07,3.8105784254611e-05,"Match","Grammatical","Experiment 1"
"295",-2.06,3.99294050006905e-05,"Match","Grammatical","Experiment 1"
"296",-2.05,4.18407369918649e-05,"Match","Grammatical","Experiment 1"
"297",-2.04,4.38430763459021e-05,"Match","Grammatical","Experiment 1"
"298",-2.03,4.5941361475888e-05,"Match","Grammatical","Experiment 1"
"299",-2.02,4.8140335287968e-05,"Match","Grammatical","Experiment 1"
"300",-2.01,5.0444017390193e-05,"Match","Grammatical","Experiment 1"
"301",-2,5.28584043005654e-05,"Match","Grammatical","Experiment 1"
"302",-1.99,5.538812101607e-05,"Match","Grammatical","Experiment 1"
"303",-1.98,5.80385849076499e-05,"Match","Grammatical","Experiment 1"
"304",-1.97,6.08165249599509e-05,"Match","Grammatical","Experiment 1"
"305",-1.96,6.37267553501788e-05,"Match","Grammatical","Experiment 1"
"306",-1.95,6.67763045704918e-05,"Match","Grammatical","Experiment 1"
"307",-1.94,6.99722697805491e-05,"Match","Grammatical","Experiment 1"
"308",-1.93,7.33203433418438e-05,"Match","Grammatical","Experiment 1"
"309",-1.92,7.68291775591831e-05,"Match","Grammatical","Experiment 1"
"310",-1.91,8.05057536948047e-05,"Match","Grammatical","Experiment 1"
